iter	Passed	Remaining
0	134	133896
1	135	67711
2	137	45620
3	138	34562
4	140	27944
5	142	23533
6	143	20405
7	145	18068
8	147	16205
9	148	14725
10	150	13513
11	151	12504
12	153	11644
13	154	10891
14	156	10258
15	158	9724
16	159	9248
17	161	8825
18	163	8444
19	165	8099
20	167	7786
21	168	7503
22	170	7243
23	172	7004
24	174	6798
25	176	6599
26	178	6417
27	179	6242
28	181	6081
29	183	5926
30	184	5781
31	186	5648
32	188	5524
33	190	5405
34	192	5296
35	193	5192
36	195	5090
37	197	4993
38	198	4898
39	200	4808
40	201	4723
41	203	4644
42	206	4588
43	207	4505
44	208	4435
45	210	4363
46	211	4295
47	213	4233
48	214	4170
49	216	4110
50	217	4051
51	219	4002
52	221	3953
53	222	3904
54	224	3855
55	225	3809
56	227	3767
57	229	3723
58	230	3681
59	232	3643
60	234	3610
61	236	3573
62	237	3537
63	239	3499
64	240	3466
65	243	3439
66	244	3409
67	246	3377
68	248	3350
69	251	3339
70	253	3318
71	256	3300
72	258	3283
73	260	3259
74	262	3237
75	264	3215
76	266	3192
77	268	3169
78	270	3147
79	271	3123
80	273	3100
81	274	3078
82	276	3054
83	278	3033
84	280	3017
85	282	3002
86	284	2987
87	286	2971
88	289	2963
89	291	2951
90	294	2937
91	296	2922
92	297	2903
93	300	2891
94	301	2869
95	303	2856
96	305	2842
97	307	2827
98	308	2812
99	311	2799
100	313	2787
101	315	2775
102	317	2762
103	319	2755
104	322	2748
105	324	2739
106	327	2730
107	329	2723
108	332	2716
109	334	2710
110	337	2704
111	340	2698
112	343	2692
113	344	2680
114	345	2660
115	347	2651
116	350	2641
117	352	2632
118	354	2623
119	356	2616
120	359	2612
121	361	2604
122	364	2595
123	366	2586
124	368	2577
125	370	2569
126	373	2565
127	375	2557
128	377	2550
129	379	2542
130	382	2534
131	384	2525
132	391	2554
133	394	2546
134	396	2539
135	398	2531
136	401	2526
137	404	2526
138	407	2526
139	411	2525
140	413	2521
141	417	2519
142	422	2529
143	425	2527
144	427	2522
145	430	2516
146	432	2510
147	435	2505
148	437	2499
149	440	2495
150	443	2495
151	446	2490
152	449	2488
153	452	2483
154	454	2478
155	457	2476
156	460	2471
157	464	2472
158	467	2470
159	469	2466
160	472	2463
161	476	2463
162	479	2460
163	482	2457
164	484	2453
165	487	2446
166	490	2444
167	492	2440
168	495	2436
169	498	2433
170	500	2427
171	503	2422
172	505	2416
173	509	2417
174	512	2413
175	514	2407
176	516	2401
177	518	2395
178	521	2390
179	524	2387
180	526	2383
181	529	2380
182	532	2376
183	534	2369
184	536	2365
185	539	2360
186	542	2358
187	544	2352
188	546	2346
189	549	2341
190	551	2335
191	553	2328
192	556	2325
193	558	2319
194	560	2313
195	562	2309
196	565	2305
197	567	2299
198	570	2296
199	573	2292
200	575	2286
201	577	2280
202	579	2274
203	581	2267
204	583	2261
205	585	2258
206	588	2255
207	591	2253
208	594	2250
209	597	2246
210	599	2241
211	602	2237
212	604	2233
213	606	2229
214	609	2224
215	611	2219
216	613	2214
217	616	2213
218	619	2208
219	621	2204
220	623	2199
221	626	2194
222	629	2192
223	632	2191
224	635	2188
225	638	2185
226	640	2180
227	642	2176
228	646	2175
229	649	2173
230	652	2172
231	654	2168
232	657	2163
233	659	2159
234	662	2155
235	664	2151
236	667	2148
237	669	2144
238	672	2141
239	675	2139
240	678	2135
241	680	2130
242	682	2125
243	685	2123
244	688	2121
245	692	2123
246	697	2125
247	699	2121
248	701	2116
249	703	2111
250	706	2107
251	708	2104
252	711	2100
253	713	2094
254	715	2089
255	717	2084
256	720	2081
257	722	2078
258	726	2077
259	728	2073
260	730	2069
261	732	2064
262	734	2059
263	737	2055
264	739	2051
265	741	2047
266	744	2042
267	746	2038
268	748	2033
269	750	2029
270	753	2025
271	755	2021
272	757	2017
273	759	2012
274	761	2007
275	763	2002
276	765	1998
277	767	1993
278	769	1989
279	771	1984
280	773	1979
281	776	1975
282	778	1971
283	780	1967
284	783	1966
285	786	1963
286	788	1959
287	791	1955
288	793	1951
289	795	1946
290	797	1943
291	799	1939
292	802	1935
293	804	1931
294	806	1926
295	808	1922
296	810	1918
297	812	1913
298	814	1910
299	817	1906
300	819	1902
301	821	1897
302	823	1893
303	825	1889
304	827	1885
305	829	1881
306	832	1878
307	833	1873
308	836	1869
309	838	1865
310	840	1861
311	842	1857
312	844	1853
313	846	1848
314	848	1845
315	850	1841
316	852	1837
317	854	1833
318	857	1830
319	859	1826
320	861	1822
321	863	1818
322	866	1815
323	868	1812
324	871	1809
325	873	1805
326	875	1802
327	878	1799
328	880	1795
329	882	1792
330	884	1788
331	886	1784
332	888	1779
333	890	1776
334	893	1772
335	895	1769
336	897	1765
337	899	1762
338	902	1760
339	905	1757
340	907	1753
341	910	1751
342	912	1747
343	914	1743
344	916	1739
345	918	1735
346	919	1731
347	921	1727
348	923	1723
349	925	1719
350	927	1715
351	929	1711
352	931	1708
353	933	1704
354	935	1700
355	937	1696
356	940	1693
357	942	1689
358	944	1685
359	946	1681
360	948	1678
361	950	1674
362	952	1671
363	954	1667
364	956	1664
365	958	1660
366	960	1657
367	962	1653
368	964	1650
369	966	1646
370	969	1643
371	972	1640
372	974	1638
373	977	1635
374	979	1632
375	981	1628
376	983	1625
377	986	1622
378	988	1619
379	990	1616
380	992	1612
381	994	1608
382	996	1605
383	998	1601
384	1000	1597
385	1002	1594
386	1004	1591
387	1006	1587
388	1008	1584
389	1010	1581
390	1013	1577
391	1015	1574
392	1017	1571
393	1019	1568
394	1021	1564
395	1023	1561
396	1026	1558
397	1028	1555
398	1030	1552
399	1032	1549
400	1035	1547
401	1038	1544
402	1040	1540
403	1042	1537
404	1044	1534
405	1046	1530
406	1048	1527
407	1050	1524
408	1052	1521
409	1054	1517
410	1057	1514
411	1059	1511
412	1061	1508
413	1063	1505
414	1065	1502
415	1067	1498
416	1069	1495
417	1071	1492
418	1073	1488
419	1075	1485
420	1077	1481
421	1079	1478
422	1081	1475
423	1083	1471
424	1085	1468
425	1087	1464
426	1089	1461
427	1091	1458
428	1092	1454
429	1095	1451
430	1097	1448
431	1099	1445
432	1101	1442
433	1103	1439
434	1105	1435
435	1107	1432
436	1109	1429
437	1111	1426
438	1114	1423
439	1116	1420
440	1118	1417
441	1120	1414
442	1122	1410
443	1124	1407
444	1126	1404
445	1128	1401
446	1130	1398
447	1132	1395
448	1134	1392
449	1136	1388
450	1138	1385
451	1140	1382
452	1142	1379
453	1144	1376
454	1146	1373
455	1148	1369
456	1150	1366
457	1152	1364
458	1154	1360
459	1156	1357
460	1158	1354
461	1161	1352
462	1163	1349
463	1165	1346
464	1167	1343
465	1169	1340
466	1171	1337
467	1174	1335
468	1176	1332
469	1178	1329
470	1180	1325
471	1182	1322
472	1184	1319
473	1186	1317
474	1189	1314
475	1191	1311
476	1193	1308
477	1195	1305
478	1197	1302
479	1199	1299
480	1201	1296
481	1203	1293
482	1205	1290
483	1207	1287
484	1209	1284
485	1211	1281
486	1213	1278
487	1215	1275
488	1217	1272
489	1219	1269
490	1221	1266
491	1224	1263
492	1225	1260
493	1227	1257
494	1229	1254
495	1232	1251
496	1233	1248
497	1236	1246
498	1238	1243
499	1240	1240
500	1243	1238
501	1245	1235
502	1247	1232
503	1249	1229
504	1251	1226
505	1253	1224
506	1255	1221
507	1257	1218
508	1259	1215
509	1261	1212
510	1263	1209
511	1266	1206
512	1268	1204
513	1270	1201
514	1272	1198
515	1274	1195
516	1276	1192
517	1278	1189
518	1280	1186
519	1282	1183
520	1284	1181
521	1286	1178
522	1289	1175
523	1291	1173
524	1293	1170
525	1295	1167
526	1298	1165
527	1300	1162
528	1302	1159
529	1304	1157
530	1306	1154
531	1308	1151
532	1311	1148
533	1313	1145
534	1315	1143
535	1317	1140
536	1319	1137
537	1321	1134
538	1323	1131
539	1325	1128
540	1327	1126
541	1330	1124
542	1332	1121
543	1334	1118
544	1336	1115
545	1338	1113
546	1340	1110
547	1343	1107
548	1345	1105
549	1348	1103
550	1351	1101
551	1353	1098
552	1355	1095
553	1357	1092
554	1359	1090
555	1361	1087
556	1364	1085
557	1366	1082
558	1368	1079
559	1370	1077
560	1372	1074
561	1374	1071
562	1376	1068
563	1378	1065
564	1380	1062
565	1382	1060
566	1384	1057
567	1386	1054
568	1388	1051
569	1390	1049
570	1392	1046
571	1394	1043
572	1396	1040
573	1398	1038
574	1400	1035
575	1402	1032
576	1404	1029
577	1406	1027
578	1408	1024
579	1410	1021
580	1412	1018
581	1414	1015
582	1415	1012
583	1417	1010
584	1419	1007
585	1437	1015
586	1439	1012
587	1441	1010
588	1443	1007
589	1445	1004
590	1447	1001
591	1449	999
592	1452	996
593	1454	994
594	1456	991
595	1458	988
596	1460	986
597	1462	983
598	1464	980
599	1466	977
600	1469	975
601	1472	973
602	1474	971
603	1477	968
604	1479	965
605	1481	963
606	1483	960
607	1486	958
608	1488	955
609	1490	953
610	1492	950
611	1494	947
612	1497	945
613	1499	942
614	1502	940
615	1504	937
616	1506	935
617	1508	932
